SoC,R0_Ohms,Temperature_C
0.996810576923077,0.0418573928271205,5.596569
0.948327884615385,0.0387368431357741,5.812731
0.9009625,0.0365088999026661,5.729462
0.854454166666667,0.0349167769129004,5.813357
0.808527243589744,0.0334774874806144,5.821735
0.762685897435897,0.0323484805578106,5.565312
0.716841346153846,0.0318017564468311,5.611195
0.671005448717949,0.0313539443169241,5.568233
0.625157051282051,0.0311151680247461,5.587931
0.579308333333333,0.0309990957428581,5.423082
0.533469551282051,0.0309685410027184,5.351983
0.487626923076923,0.0308670641512073,5.534968
0.441777243589744,0.0309155316210026,5.375156
0.395930769230769,0.0312524827258231,5.389763
0.35008108974359,0.0318374931202493,5.538666
0.304233333333333,0.0325782642783656,5.344691
0.258395192307692,0.0341468106030191,5.126572
0.212549038461539,0.036843607525554,5.529745
0.16670032051282,0.0406592161104402,5.514551
0.122748076923077,0.0452041115512646,5.717774
1,0.0346575174782374,5.812418
0.959674038461538,0.0328096519733262,5.814208
0.909864423076923,0.0315433767983111,5.894911
0.861163141025641,0.0306421344034116,5.885347
0.813622115384615,0.0297284973412021,5.792497
0.767449679487179,0.029120874317857,5.679962
0.721529487179487,0.0287224705955575,5.649984
0.675653525641026,0.0284382382189177,5.746088
0.629757371794872,0.0283286223973885,5.779709
0.583879487179487,0.028267623447088,5.663713
0.538013461538462,0.0281760105118477,5.883489
0.492118269230769,0.028158998112476,5.725993
0.446214423076923,0.0282157052562834,5.642141
0.400304166666667,0.0284799685081322,5.663301
0.354448717948718,0.0289143142835167,5.496346
0.308597756410257,0.0295927205311833,5.371366
0.26449358974359,0.0308351811204356,5.652946
0.22278108974359,0.0324224467693295,5.630201
0.185300320512821,0.0343369670124602,5.435817
0.152434294871795,0.0356854146316126,5.620216
0.976936858974359,0.0419465100175325,5.485461
0.928609935897436,0.0390935762361568,5.813885
0.881346474358974,0.0370952976556674,5.661939
0.834905769230769,0.0354899216812747,5.614525
0.789060897435897,0.0341025952155338,5.547729
0.743261538461538,0.0330748663476686,5.683293
0.697452564102564,0.0325680689032589,5.555245
0.65164967948718,0.0321189941559357,5.495177
0.605853205128205,0.0319205827578588,5.797842
0.560049679487179,0.0318455174697519,5.410567
0.51424358974359,0.0317955511150278,5.550299
0.468432692307692,0.0316866255211882,5.657457
0.422637179487179,0.0317918961585687,5.386185
0.376839743589743,0.03218342176918,5.632528
0.331043269230769,0.0327555603574681,5.366103
0.285251602564103,0.0336315882160204,5.278831
0.239450320512821,0.0354326327716913,5.481673
0.193646474358975,0.0383417151022024,5.552091
0.147841346153846,0.0424367630544638,5.630074
0.104977884615385,0.0440242121288371,5.363415
0.978669230769231,0.0350171791773287,5.818194
0.927613141025641,0.0333508590156483,5.870429
0.877848076923077,0.0320802184331943,5.828985
0.829193269230769,0.0311441219616806,5.928318
0.781838782051282,0.0302475004971474,5.825912
0.73574967948718,0.0297002977068263,5.922776
0.689841987179487,0.0293461873642164,5.794951
0.64387532051282,0.0290862683539616,5.896715
0.597937820512821,0.0289605347604835,5.903274
0.55200641025641,0.0289088882826105,5.854335
0.506084615384615,0.0288480635899364,5.876587
0.460145833333333,0.0288072740839022,5.766705
0.414208333333333,0.0289118639765103,5.871992
0.368270192307693,0.0292620916886657,5.741661
0.322347115384615,0.0296805149907612,5.704677
0.276774679487179,0.0304769182052718,5.236758
0.233258012820513,0.0317959900974647,5.505963
